brand,model,color,car_age,mileage_in_km,power_kw,transmission_type,fuel_type,price_in_euro
audi,Audi e-tron,beige,4,84800.0,300,Automatic,Electric,51888
audi,Audi e-tron,beige,4,51000.0,300,Automatic,Electric,53990
audi,Audi e-tron,blue,4,84300.0,300,Automatic,Electric,32930
audi,Audi e-tron,blue,4,55900.0,300,Automatic,Electric,44940
audi,Audi e-tron,blue,4,17950.0,300,Automatic,Electric,52446
audi,Audi e-tron,blue,4,67541.0,300,Automatic,Electric,41980
audi,Audi e-tron,blue,4,25639.0,265,Automatic,Electric,40990
audi,Audi e-tron,blue,4,54000.0,300,Automatic,Electric,39890
audi,Audi e-tron,blue,4,80000.0,300,Automatic,Electric,42880
audi,Audi e-tron,blue,4,48400.0,265,Automatic,Electric,49600
audi,Audi e-tron,blue,4,71253.0,300,Automatic,Electric,49679
audi,Audi e-tron,blue,4,21960.0,300,Automatic,Electric,57499
audi,Audi e-tron,blue,4,91015.0,300,Manual,Electric,43850
audi,Audi e-tron,blue,4,25000.0,300,Automatic,Electric,52900
audi,Audi e-tron,blue,4,40300.0,265,Automatic,Electric,47900
audi,Audi e-tron,grey,4,48048.0,300,Automatic,Electric,41990
audi,Audi e-tron,grey,4,47400.0,300,Automatic,Electric,49920
audi,Audi e-tron,grey,4,34802.0,300,Automatic,Electric,45790
audi,Audi e-tron,grey,4,75430.0,265,Automatic,Electric,46970
audi,Audi e-tron,grey,4,31032.0,265,Automatic,Electric,56450
audi,Audi e-tron,grey,4,84200.0,300,Automatic,Electric,49440
audi,Audi e-tron,grey,4,60738.0,300,Automatic,Electric,57870
audi,Audi e-tron,grey,4,76800.0,300,Automatic,Electric,45940
audi,Audi e-tron,grey,4,64274.0,300,Automatic,Electric,49830
audi,Audi e-tron,grey,4,66200.0,300,Automatic,Electric,45340
audi,Audi e-tron,red,4,17494.0,300,Automatic,Electric,56990
audi,Audi e-tron,red,4,39530.0,300,Automatic,Electric,47970
audi,Audi e-tron,red,4,3000.0,300,Automatic,Electric,56950
audi,Audi e-tron,red,4,38460.0,300,Automatic,Electric,53790
audi,Audi e-tron,red,4,25070.0,300,Automatic,Electric,49790
audi,Audi e-tron,black,4,58617.0,300,Automatic,Electric,52980
audi,Audi e-tron,black,4,45300.0,300,Automatic,Electric,46895
audi,Audi e-tron,black,4,95850.0,300,Automatic,Electric,47850
audi,Audi e-tron,black,4,68944.0,300,Automatic,Electric,17990
audi,Audi e-tron,black,4,57990.0,300,Automatic,Electric,49930
audi,Audi e-tron,black,4,146003.0,300,Automatic,Electric,31850
audi,Audi e-tron,black,4,31000.0,300,Automatic,Electric,42470
audi,Audi e-tron,black,4,77728.0,300,Automatic,Electric,51940
audi,Audi e-tron,black,4,104450.0,158,Automatic,Electric,44690
audi,Audi e-tron,silver,4,37310.0,300,Automatic,Electric,49760
audi,Audi e-tron,silver,4,82500.0,300,Automatic,Electric,42400
audi,Audi e-tron,silver,4,27300.0,265,Automatic,Electric,46760
audi,Audi e-tron,silver,4,32995.0,300,Automatic,Electric,52880
audi,Audi e-tron,silver,4,40815.0,265,Automatic,Electric,61999
audi,Audi e-tron,white,4,22724.0,300,Automatic,Electric,45980
audi,Audi e-tron,white,4,31500.0,300,Automatic,Electric,46990
audi,Audi e-tron,white,4,45900.0,300,Automatic,Electric,47950
audi,Audi e-tron,white,4,50450.0,300,Automatic,Electric,52436
audi,Audi e-tron,white,4,72221.0,300,Automatic,Electric,43450
audi,Audi e-tron,white,4,52400.0,300,Automatic,Electric,48200
audi,Audi e-tron,white,4,59680.0,300,Automatic,Electric,54960
audi,Audi e-tron,blue,3,50500.0,300,Automatic,Electric,49880
audi,Audi e-tron,blue,3,43417.0,230,Automatic,Electric,45989
audi,Audi e-tron,blue,3,50374.0,230,Automatic,Electric,41950
audi,Audi e-tron,blue,3,67950.0,300,Automatic,Electric,48845
audi,Audi e-tron,blue,3,16800.0,370,Automatic,Electric,69900
audi,Audi e-tron,blue,3,8471.0,230,Automatic,Electric,46950
audi,Audi e-tron,blue,3,13100.0,300,Automatic,Electric,59950
audi,Audi e-tron,blue,3,35800.0,370,Automatic,Electric,77800
audi,Audi e-tron,blue,3,71011.0,300,Automatic,Electric,56990
audi,Audi e-tron,blue,3,29858.0,230,Automatic,Electric,49888
audi,Audi e-tron,grey,3,37172.0,230,Automatic,Electric,47780
audi,Audi e-tron,grey,3,30384.0,230,Automatic,Electric,56190
audi,Audi e-tron,grey,3,62039.0,300,Automatic,Electric,54830
audi,Audi e-tron,grey,3,82803.0,230,Automatic,Electric,48920
audi,Audi e-tron,grey,3,38977.0,230,Automatic,Electric,56970
audi,Audi e-tron,red,3,29238.0,300,Automatic,Electric,59625
audi,Audi e-tron,red,3,29238.0,300,Automatic,Electric,59625
audi,Audi e-tron,red,3,29999.0,230,Automatic,Electric,46444
audi,Audi e-tron,red,3,5988.0,300,Automatic,Electric,65980
audi,Audi e-tron,red,3,7924.0,300,Automatic,Electric,62990
audi,Audi e-tron,red,3,56248.0,300,Automatic,Electric,57770
audi,Audi e-tron,black,3,37151.0,230,Automatic,Electric,41990
audi,Audi e-tron,silver,3,36925.0,300,Automatic,Electric,58950
audi,Audi e-tron,silver,3,49805.0,300,Automatic,Electric,61450
audi,Audi e-tron,silver,3,48100.0,230,Automatic,Electric,56090
audi,Audi e-tron,silver,3,34484.0,300,Automatic,Electric,65930
audi,Audi e-tron,white,3,60330.0,230,Automatic,Electric,37940
audi,Audi e-tron,white,3,30724.0,230,Automatic,Electric,63890
audi,Audi e-tron,white,3,46938.0,230,Automatic,Electric,43550
audi,Audi Q5,white,3,99970.0,185,Automatic,Electric,38900
audi,Audi e-tron,white,3,8650.0,300,Automatic,Electric,59790
audi,Audi Q4 e-tron,blue,2,5296.0,150,Automatic,Electric,56960
audi,Audi Q4 e-tron,blue,2,19980.0,125,Automatic,Electric,48780
audi,Audi e-tron,blue,2,14700.0,230,Automatic,Electric,46890
audi,Audi e-tron,blue,2,11999.0,370,Automatic,Electric,78950
audi,Audi e-tron,blue,2,7202.0,370,Automatic,Electric,83900
audi,Audi Q4 e-tron,blue,2,4425.0,220,Automatic,Electric,60850
audi,Audi Q4 e-tron,blue,2,14888.0,150,Automatic,Electric,59150
audi,Audi e-tron,blue,2,20888.0,370,Automatic,Electric,78680
audi,Audi e-tron,yellow,2,28386.0,230,Automatic,Electric,45180
audi,Audi e-tron,grey,2,5200.0,150,Automatic,Electric,55690
audi,Audi e-tron GT,grey,2,34588.0,350,Automatic,Electric,81980
audi,Audi Q4 e-tron,grey,2,8031.0,220,Automatic,Electric,81980
audi,Audi Q4 e-tron,grey,2,17737.0,220,Automatic,Electric,58950
audi,Audi Q4 e-tron,grey,2,2109.0,125,Automatic,Electric,47440
audi,Audi Q4 e-tron,grey,2,33990.0,220,Automatic,Electric,55880
audi,Audi Q4 e-tron,grey,2,29103.0,150,Automatic,Electric,52950
audi,Audi,grey,2,4780.0,350,Automatic,Electric,82950
audi,Audi Q4 e-tron,grey,2,22458.0,220,Automatic,Electric,59920
audi,Audi e-tron GT,grey,2,9998.0,350,Automatic,Electric,84420
audi,Audi e-tron,grey,2,11400.0,300,Automatic,Electric,67840
audi,Audi Q4 e-tron,grey,2,16800.0,150,Unknown,Electric,51990
audi,Audi e-tron GT,grey,2,8937.0,350,Automatic,Electric,96900
audi,Audi e-tron,grey,2,6959.0,158,Automatic,Electric,63880
audi,Audi Q4 e-tron,grey,2,10036.0,150,Automatic,Electric,55990
audi,Audi e-tron,grey,2,17279.0,370,Automatic,Electric,79999
audi,Audi e-tron,grey,2,22657.0,230,Automatic,Electric,47440
audi,Audi e-tron GT,green,2,24981.0,350,Automatic,Electric,91980
audi,Audi e-tron GT,green,2,15713.0,350,Automatic,Electric,96870
audi,Audi e-tron GT,red,2,8000.0,440,Automatic,Electric,113590
audi,Audi e-tron,red,2,24487.0,370,Automatic,Electric,59900
audi,Audi RS,red,2,9868.0,440,Automatic,Electric,117879
audi,Audi e-tron,red,2,6380.0,300,Automatic,Electric,76950
audi,Audi e-tron,red,2,8896.0,300,Automatic,Electric,59955
audi,Audi e-tron,red,2,39900.0,300,Automatic,Electric,64979
audi,Audi e-tron,red,2,7669.0,265,Automatic,Electric,72480
audi,Audi e-tron GT,black,2,35000.0,440,Automatic,Electric,136780
audi,Audi e-tron,black,2,7345.0,300,Automatic,Electric,39650
audi,Audi e-tron GT,black,2,42600.0,350,Automatic,Electric,91990
audi,Audi e-tron,black,2,31200.0,370,Automatic,Electric,76899
audi,Audi,black,2,14985.0,370,Automatic,Electric,63880
audi,Audi Q4 e-tron,black,2,57650.0,220,Automatic,Electric,50980
audi,Audi e-tron GT,black,2,47500.0,350,Automatic,Electric,88999
audi,Audi e-tron,black,2,7263.0,370,Automatic,Electric,84420
audi,Audi e-tron,black,2,8000.0,474,Automatic,Electric,131990
audi,Audi e-tron,silver,2,8100.0,230,Automatic,Electric,56990
audi,Audi Q4 e-tron,silver,2,5990.0,125,Automatic,Electric,56666
audi,Audi Q4 e-tron,silver,2,5990.0,125,Automatic,Electric,56866
audi,Audi e-tron,silver,2,27600.0,371,Automatic,Electric,24980
audi,Audi e-tron,silver,2,19971.0,300,Automatic,Electric,67980
audi,Audi e-tron,silver,2,7400.0,230,Automatic,Electric,54900
audi,Audi e-tron,silver,2,7400.0,230,Automatic,Electric,43840
audi,Audi e-tron GT,white,2,14700.0,440,Automatic,Electric,104985
audi,Audi e-tron GT,white,2,13600.0,350,Automatic,Electric,88990
audi,Audi Q4 e-tron,white,2,15500.0,125,Automatic,Electric,51880
audi,Audi e-tron,white,2,11300.0,370,Automatic,Electric,71849
audi,Audi e-tron GT,white,2,9371.0,350,Automatic,Electric,99980
audi,Audi e-tron,beige,1,6001.0,230,Automatic,Electric,62219
audi,Audi Q4 e-tron,blue,1,1100.0,125,Automatic,Electric,47420
audi,Audi e-tron,blue,1,7100.0,370,Automatic,Electric,84880
audi,Audi e-tron,blue,1,6431.0,230,Automatic,Electric,22690
audi,Audi Q4 e-tron,blue,1,9950.0,125,Automatic,Electric,47699
audi,Audi e-tron,blue,1,19285.0,300,Automatic,Electric,26970
audi,Audi e-tron,blue,1,6064.0,230,Automatic,Electric,50980
audi,Audi e-tron,blue,1,11504.0,300,Automatic,Electric,68990
audi,Audi Q4 e-tron,blue,1,9950.0,125,Automatic,Electric,47499
audi,Audi Q4 e-tron,blue,1,12000.0,150,Automatic,Electric,53489
audi,Audi e-tron,blue,1,9900.0,300,Automatic,Electric,63900
audi,Audi e-tron,blue,1,5060.0,300,Automatic,Electric,67890
audi,Audi,blue,1,4990.0,350,Automatic,Electric,112850
audi,Audi Q4 e-tron,blue,1,1313.0,125,Automatic,Electric,43650
audi,Audi Q4 e-tron,blue,1,2570.0,150,Automatic,Electric,56980
audi,Audi e-tron,blue,1,14909.0,300,Automatic,Electric,61790
audi,Audi Q4 e-tron,blue,1,12500.0,150,Automatic,Electric,53900
audi,Audi e-tron,blue,1,14585.0,370,Automatic,Electric,73920
audi,Audi,brown,1,11000.0,370,Automatic,Electric,99990
audi,Audi Q4 e-tron,grey,1,10136.0,150,Automatic,Electric,49980
audi,Audi e-tron,grey,1,10460.0,300,Automatic,Electric,64970
audi,Audi Q4 e-tron,grey,1,2875.0,125,Automatic,Electric,37490
audi,Audi,grey,1,17000.0,220,Automatic,Electric,32480
audi,Audi e-tron,grey,1,11860.0,300,Automatic,Electric,61850
audi,Audi e-tron GT,grey,1,9875.0,440,Automatic,Electric,134900
audi,Audi e-tron,grey,1,10900.0,230,Automatic,Electric,56880
audi,Audi e-tron,grey,1,8200.0,230,Automatic,Electric,53710
audi,Audi e-tron GT,grey,1,3050.0,440,Automatic,Electric,117777
